Entry,Name,Total points,Gameweek Points,Gameweek Hits,Rank,Last Rank,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Player,Captain,V Captain,Bank amount,Team Value,Gameweek Transfers
1137764,Yeashafi,273,64,0,118,484,468,115,262,359,276,164,124,251,370,417,280,328,437,247,145,280,417,0.4,100.8,0
1924400,Tig Bitties,273,83,0,118,14106,260,115,220,357,247,459,253,365,274,417,280,329,142,189,55,280,253,0.0,100.8,0
2608167,AliFab FC,273,62,0,118,370,400,115,330,142,304,433,253,459,251,151,280,490,265,49,480,280,253,0.0,100.9,0
5608,Matthew SC,273,78,0,124,6903,260,291,267,247,393,370,251,253,392,45,280,190,480,95,145,280,253,0.1,101.7,1
55609,The Garlanticos,273,76,0,124,4908,24,286,247,267,302,253,276,251,45,280,480,25,95,145,56,280,253,0.0,101.4,0
171013,NIE MA NIC ZA DARMO,273,70,0,124,1654,260,267,247,72,182,393,251,253,370,45,280,25,151,145,335,280,253,0.6,100.9,1
193733,hierspieltdiemusik,273,74,0,124,4015,260,267,157,247,246,125,253,393,480,280,43,24,391,28,199,280,253,0.1,101.3,1
220068,Obesiteam,273,58,0,124,157,445,267,247,357,433,251,253,276,393,45,280,400,145,335,189,280,253,1.5,99.7,1
399915,Coolio Fc,273,63,0,124,451,468,247,357,267,286,27,76,253,18,280,417,24,151,150,182,280,417,0.4,100.4,1
400181,Championees,273,70,0,124,1914,445,115,247,267,433,393,253,251,280,43,177,47,142,145,56,253,280,1.0,100.7,0
654756,Wadiyatalkinabeet,273,52,0,124,39,24,247,267,286,27,253,251,393,276,22,280,190,145,167,209,280,253,0.4,101.1,1
1034430,MT XI,273,74,0,124,3584,454,220,247,72,393,302,251,184,280,257,151,2,357,456,335,280,251,0.3,100.4,0
1134404,Bangstreet Boys,273,53,0,124,52,400,267,141,247,251,393,253,370,280,45,177,454,29,131,145,280,253,0.3,100.7,0
1491986,GirlsTeam,273,48,0,124,16,260,267,247,357,150,251,393,432,257,280,45,490,142,145,478,280,257,0.1,100.7,0
1887060,rodders utd,273,55,0,124,88,282,267,330,115,28,251,256,393,480,280,43,24,295,338,9,280,393,3.1,97.9,1
2130850,Show me the Mane,273,66,0,124,872,468,267,247,286,459,302,125,253,433,280,45,24,28,151,425,280,468,1.8,99.2,0
2533165,AFC Bungle,273,48,0,124,19,260,247,115,72,393,271,251,302,43,280,151,490,484,339,4,280,393,1.0,100.0,0
2751271,isaacs team,273,67,0,124,1052,351,267,378,115,247,251,253,432,393,280,151,25,145,56,210,280,251,0.4,101.0,1
3266846,Ruicjy Rovers,273,57,0,124,134,468,115,247,357,113,18,184,393,164,257,280,154,72,225,417,280,257,1.4,99.5,0
1024407,Lallana’s in pjyamas,273,57,0,140,59,468,247,115,267,276,233,182,251,480,417,280,25,295,32,428,280,417,0.3,100.8,0
3420567,First week winner,272,59,0,141,233,490,247,162,267,355,393,365,251,234,280,417,24,317,32,187,280,234,2.3,98.0,0
241202,CHÈ ĐÙI,272,56,0,142,134,468,247,267,115,233,172,459,251,393,280,417,498,506,151,138,251,280,0.4,101.4,0
249342,Michael Schmeichel,272,71,0,142,2408,400,286,247,267,393,276,253,251,45,280,480,445,138,145,131,280,253,0.2,101.0,2
821181,Sarilicious,272,59,20,142,233,490,267,378,247,251,393,433,276,253,280,417,445,437,142,145,280,276,0.0,101.5,6
962932,Sarri Ball,272,59,20,142,233,490,267,378,247,251,393,433,276,253,280,417,445,437,142,145,280,276,0.0,101.5,6
1903715,Mighty MyThor,272,55,0,142,109,498,247,267,286,392,276,253,251,393,280,480,155,95,142,109,280,251,0.9,100.4,2
2363121,KSA Spartans,272,85,0,142,23305,468,247,267,330,276,122,391,253,433,280,480,24,327,334,310,280,468,0.0,101.2,0
3073080,Foxley Reds,272,54,0,142,88,468,247,115,357,28,393,251,365,433,280,43,25,151,4,300,280,468,0.8,100.2,0
3296558,zehire,272,61,0,142,370,260,142,247,267,253,182,172,251,480,280,417,445,145,95,435,280,253,0.0,100.9,1
4149084,gar123,272,80,0,142,11699,498,267,357,115,433,251,458,18,480,257,280,329,150,506,142,280,257,0.0,101.1,0
35335,Bacon Sandwich,272,59,0,151,264,400,357,267,157,115,392,253,393,151,280,417,454,432,150,138,280,253,1.1,99.6,1
96819,NMT FC,272,71,0,151,2408,400,286,267,247,393,251,276,253,480,280,45,445,95,145,56,280,253,0.1,101.7,1
513532,Adomy,272,60,0,151,314,154,267,247,115,253,251,391,459,393,417,280,47,330,95,189,280,253,0.6,101.1,1
549389,England Tegar,272,73,0,151,3584,490,247,267,286,253,393,251,370,151,280,45,445,95,56,145,280,253,0.1,101.4,1
614546,Rat pack,272,55,0,151,109,498,247,267,115,393,391,302,251,280,257,45,400,433,409,335,280,393,1.8,99.4,0
1251589,Forzajuve,272,63,0,151,542,445,247,262,267,393,370,251,253,151,45,280,25,330,131,140,280,253,0.8,100.2,0
1557952,Attack from the rear,272,72,0,151,3336,260,113,115,267,247,246,253,125,302,151,280,25,182,189,56,280,253,1.0,100.0,0
1629360,Osvežujoče,272,59,0,151,264,468,115,291,267,18,253,393,126,432,280,417,136,142,12,209,280,253,1.2,99.5,1
1664939,Itdidntcomehome,272,63,4,151,542,468,357,247,267,393,253,391,276,304,417,280,47,72,488,427,280,468,0.4,100.6,2
1887825,Game of Throw-ins,272,64,0,151,596,468,245,115,267,276,253,304,393,432,305,280,24,145,480,28,280,253,0.2,100.7,0
2693083,For Fuchs Sake,272,53,0,151,77,260,115,267,286,247,253,126,393,251,280,417,454,145,347,410,280,251,0.4,101.0,2
2866870,UTCIAD,272,65,0,151,750,260,247,267,141,356,253,251,370,459,45,280,454,145,56,151,280,253,0.3,100.7,0
2898586,Wakanda team,272,63,4,151,583,154,115,72,247,267,251,391,253,393,280,151,191,332,209,131,280,251,0.9,100.2,3
2954394,no Salah no Mane,272,65,0,151,750,282,72,267,247,253,393,276,251,43,280,480,25,145,82,52,280,253,0.8,100.5,0
2969805,Enter Shaqiri,272,91,0,151,41170,468,70,115,246,164,433,253,459,480,280,372,439,428,32,17,280,372,0.3,100.5,0
3008874,Double O Severn,272,51,0,151,39,260,247,267,221,393,253,251,432,417,151,280,155,145,138,131,280,253,0.4,101.0,1
3371095,Voi Football Club,272,67,0,151,1135,445,267,247,291,393,251,370,253,151,45,280,400,95,145,167,280,253,0.3,101.1,0
3371416,bæsj,272,67,0,151,1253,260,247,267,357,253,432,251,126,417,280,151,136,167,312,427,280,253,0.3,100.7,0
4024745,Feeling Grealish,272,54,0,151,78,260,247,267,145,380,253,251,432,393,280,417,155,71,512,151,280,260,0.3,101.1,0
4042357,All the Smallings,272,68,4,151,1528,400,267,247,355,253,393,251,300,43,151,280,445,145,167,95,280,253,0.4,100.9,2
4473641,CR > Messi,272,66,0,151,947,468,267,357,115,245,433,251,126,122,280,305,509,273,145,189,280,468,0.3,100.8,0
2867838,Milinari,272,54,0,172,37,154,247,115,267,251,126,433,253,393,417,280,25,140,145,151,280,253,0.6,100.7,0
129989,Greenhouse Cavite,272,72,0,173,749,88,267,245,357,393,253,251,276,177,417,280,25,433,145,93,253,251,0.4,101.1,1
68472,Sexy like Pepsi,271,59,0,174,278,260,115,286,267,247,459,253,393,251,151,280,190,433,43,145,280,253,0.1,101.9,1
2865511,Obilic,271,63,0,174,596,260,267,246,286,355,124,18,122,164,480,280,154,312,126,151,280,122,0.5,100.7,0
3316024,Ivory Toast,271,64,0,174,750,400,286,267,247,251,370,253,393,151,280,45,445,167,145,95,280,253,1.0,100.3,0
3962224,AktionAktionAktion,271,88,0,174,34019,400,247,378,267,357,253,254,125,277,372,280,454,145,131,480,253,372,0.0,100.9,0
4131296,ZZ Top,271,78,0,174,9330,468,115,357,31,184,251,276,433,126,23,280,400,284,175,138,280,23,0.0,100.2,0
48474,Brazellians,271,68,0,179,1654,445,267,247,116,253,251,40,393,480,151,280,2,433,145,335,280,253,1.0,100.4,2
638311,Galacticos,271,60,0,179,331,282,267,72,115,247,253,370,393,251,280,45,25,183,145,189,280,253,0.0,101.4,1
932015,YNWA,271,57,0,179,198,490,267,115,247,393,276,251,253,327,280,43,1,433,141,145,280,253,0.6,101.2,1
1186216,Mo Salah Blues,271,66,0,179,1135,468,247,286,267,72,253,393,276,40,280,417,400,480,432,192,280,253,0.5,100.4,0
2175987,FC 3HUNNA,271,68,0,179,1914,454,267,247,286,253,150,393,251,151,417,280,190,145,410,54,280,253,0.9,100.7,1
2920204,Smithies Stars',271,58,0,179,233,260,267,247,286,393,253,251,433,151,480,280,155,142,145,183,280,251,0.9,100.6,0
3013734,TooBigForThisLeague,271,71,0,179,3336,260,247,115,246,433,302,253,393,417,280,480,179,145,28,56,280,393,2.0,99.3,0
3523447,4rsenal,271,66,0,179,1135,468,357,115,267,251,433,393,253,280,151,45,400,28,145,56,253,251,0.3,101.0,1
138683,Atherton FC,271,56,0,187,183,468,286,267,357,115,251,253,393,276,280,45,190,95,410,109,280,253,0.8,100.5,1
1119981,Shaw Mee your arce,271,62,0,187,484,490,115,357,247,267,253,251,76,124,45,280,25,103,145,209,280,124,0.4,100.7,1
1224032,�Hasta laVictoria�,271,74,0,187,4908,400,267,247,28,393,253,251,370,417,45,280,329,145,383,132,280,251,0.0,101.0,0
1619429,The Vardy Boys,271,84,0,187,23305,260,357,246,115,253,433,459,251,447,305,280,329,91,480,382,280,251,0.4,100.3,0
1632194,Raasclart F.C.,271,57,0,187,217,260,267,115,247,458,251,253,393,280,151,417,400,145,131,95,280,253,0.0,101.4,0
2724038,Red Devils AGS,271,68,0,187,1914,260,267,247,220,253,432,251,393,480,417,280,136,427,56,138,280,417,0.0,101.4,1
3011089,GBarnes Utd,271,50,0,187,45,282,115,355,247,251,459,302,393,43,280,257,490,433,28,4,280,257,0.9,100.8,1
3101956,forma,271,69,0,187,2264,490,355,247,115,267,433,253,365,393,280,151,468,28,56,189,280,253,0.3,100.8,0
3638909,ciyaalka xaafada,271,51,0,187,59,468,27,332,381,393,253,251,433,280,45,417,454,265,184,9,280,251,1.4,99.2,0
3735252,The Banana Bunch,271,63,0,187,596,260,286,247,115,356,59,253,393,432,40,280,136,480,142,258,280,253,1.0,99.9,1
4532997,Ca5ino Royal,271,78,0,187,10097,351,246,357,267,115,220,251,276,125,372,177,468,433,17,437,372,177,0.5,100.6,0
1343548,How I Met Your Mata,271,66,0,198,542,260,247,157,267,253,251,393,391,151,280,417,136,145,56,95,280,251,0.5,101.3,1
2223872,Well Heung (Min Son),271,74,0,198,2408,400,115,247,267,393,364,251,432,480,280,257,47,53,180,412,280,400,1.2,99.8,1
2638145,Saiponks,271,71,0,198,1528,468,286,267,115,475,253,433,251,480,417,280,155,265,182,95,280,253,0.4,100.9,1
2825976,Team 05,271,60,0,198,157,468,72,357,115,156,251,253,393,327,280,177,454,478,28,387,280,177,0.4,100.5,0
3970246,Manang Banyak,271,71,4,198,1357,445,267,247,291,145,253,370,251,393,151,280,400,45,167,95,280,253,0.1,101.0,2
769491,northdown city,270,54,0,203,122,468,115,72,267,113,433,251,393,253,417,280,400,28,189,56,280,253,0.1,101.2,1
3049833,Myattome Wanders,270,62,0,203,596,400,72,247,267,253,276,251,393,151,280,480,445,145,56,138,280,253,0.0,101.4,0
162346,E-S-E-T,270,61,0,205,542,328,267,247,145,276,393,251,432,253,280,480,373,45,335,95,280,267,0.0,101.0,0
