ID,First Name,Second Name,Team,Position,Total Points,PPG,Goals,Assists,bps,Clean Sheets,Minutes,Games Played,Selected by
182,Tom,Cairney,Fulham,Midfielder,9,3.0,0,1,60,0,239,0,2.2,d
183,Kevin,McDonald,Fulham,Midfielder,3,1.5,0,0,28,0,180,0,0.3,a
184,Ryan,Sessegnon,Fulham,Midfielder,8,2.7,0,1,23,0,181,0,6.6,a
185,Stefan,Johansen,Fulham,Midfielder,2,1.0,0,0,9,0,25,0,0.1,a
186,Floyd,Ayité,Fulham,Midfielder,0,0.0,0,0,0,0,0,0,0.1,i
187,Neeskens,Kebano,Fulham,Midfielder,0,0.0,0,0,0,0,0,0,0.1,a
188,Rui Pedro,da Rocha Fonte,Fulham,Midfielder,0,0.0,0,0,0,0,0,0,0.4,a
189,Aboubakar,Kamara,Fulham,Forward,3,1.5,0,0,14,0,116,0,11.3,a
455,Maxime,Le Marchand,Fulham,Defender,4,1.3,0,0,64,0,270,0,0.3,a
456,Jean Michael,Seri,Fulham,Midfielder,13,4.3,1,0,78,0,261,0,1.7,a
460,Cyrus,Christie,Fulham,Defender,2,1.0,0,0,15,0,95,0,0.2,a
474,Fabricio,Agosto Ramírez,Fulham,Goalkeeper,8,4.0,0,0,47,0,180,0,0.4,a
478,André,Schürrle,Fulham,Midfielder,9,3.0,1,0,35,0,150,0,3.7,a
480,Aleksandar,Mitrovic,Fulham,Forward,24,8.0,3,1,85,0,270,0,10.7,a
487,Alfie,Mawson,Fulham,Defender,0,0.0,0,0,0,0,0,0,0.2,i
509,Sergio,Rico,Fulham,Goalkeeper,0,0.0,0,0,0,0,0,0,0.2,a
510,Joe,Bryan,Fulham,Defender,4,1.3,0,0,45,0,225,0,0.2,a
511,Timothy,Fosu-Mensah,Fulham,Defender,2,1.0,0,0,23,0,180,0,0.7,a
512,André-Frank,Zambo Anguissa,Fulham,Midfielder,3,1.5,0,0,19,0,102,0,0.1,a
513,Luciano,Vietto,Fulham,Forward,10,5.0,0,2,39,0,109,0,0.6,a
521,Ibrahima,Cissé,Fulham,Midfielder,0,0.0,0,0,0,0,0,0,0.1,a
190,Ben,Hamer,Huddersfield,Goalkeeper,4,1.3,0,0,39,0,192,0,6.8,d
191,Jonas,Lössl,Huddersfield,Goalkeeper,9,9.0,0,0,26,1,77,0,1.6,a
192,Christopher,Schindler,Huddersfield,Defender,7,2.3,0,0,41,1,270,0,2.5,a
193,Chris,Löwe,Huddersfield,Defender,0,0.0,0,0,19,0,160,0,0.2,a
194,Tommy,Smith,Huddersfield,Defender,-1,-1.0,0,0,13,0,90,0,0.1,a
